ModelNumber;Mass;Height;AnkleHeightCoeff;KneeHeightCoeff;PelvisHeightCoeff;ShoulderHeightCoeff;ShoulderWidthCoeff;ElbowSpanCoeff;WristSpanCoeff;FingerSpanCoeff;FootLengthCoeff;HipWidthCoeff;UmbilicusHeightCoeff;NippleHeightCoeff
232;52.8;1.64;0.03;0.279;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
233;52.8;1.64;0.03;0.279;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
234;52.8;1.64;0.03;0.279;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
235;52.8;1.64;0.03;0.279;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
236;52.8;1.64;0.03;0.279;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
237;52.8;1.64;0.03;0.279;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
238;52.8;1.64;0.03;0.279;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
239;52.8;1.64;0.03;0.279;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
240;52.8;1.64;0.03;0.279;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
241;52.8;1.75;0.03;0.255;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
242;52.8;1.75;0.03;0.255;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
243;52.8;1.75;0.03;0.255;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
244;52.8;1.75;0.03;0.255;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
245;52.8;1.75;0.03;0.255;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
246;52.8;1.75;0.03;0.255;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
247;52.8;1.75;0.03;0.255;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
248;52.8;1.75;0.03;0.255;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
249;52.8;1.75;0.03;0.255;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
250;52.8;1.75;0.03;0.255;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
251;52.8;1.75;0.03;0.255;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
252;52.8;1.75;0.03;0.255;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
253;52.8;1.75;0.03;0.255;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
254;52.8;1.75;0.03;0.255;0.513;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
255;52.8;1.75;0.03;0.255;0.513;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
256;52.8;1.75;0.03;0.255;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
257;52.8;1.75;0.03;0.255;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
258;52.8;1.75;0.03;0.255;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
259;52.8;1.75;0.03;0.255;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
260;52.8;1.75;0.03;0.255;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
261;52.8;1.75;0.03;0.255;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
262;52.8;1.75;0.03;0.255;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
263;52.8;1.75;0.03;0.255;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
264;52.8;1.75;0.03;0.255;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
265;52.8;1.75;0.03;0.279;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
266;52.8;1.75;0.03;0.279;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
267;52.8;1.75;0.03;0.279;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
268;52.8;1.75;0.03;0.279;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
269;52.8;1.75;0.03;0.279;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
270;52.8;1.75;0.03;0.279;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
271;52.8;1.75;0.03;0.279;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
272;52.8;1.75;0.03;0.279;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
273;52.8;1.75;0.03;0.279;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
274;52.8;1.75;0.03;0.279;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
275;52.8;1.75;0.03;0.279;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
276;52.8;1.75;0.03;0.279;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
277;52.8;1.75;0.03;0.279;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
278;52.8;1.75;0.03;0.279;0.513;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
279;52.8;1.75;0.03;0.279;0.513;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
280;52.8;1.75;0.03;0.279;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
281;52.8;1.75;0.03;0.279;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
282;52.8;1.75;0.03;0.279;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
283;52.8;1.75;0.03;0.279;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
284;52.8;1.75;0.03;0.279;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
285;52.8;1.75;0.03;0.279;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
286;52.8;1.75;0.03;0.279;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
287;52.8;1.75;0.03;0.279;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
288;52.8;1.75;0.03;0.279;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
289;61.2;1.53;0.03;0.255;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
290;61.2;1.53;0.03;0.255;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
291;61.2;1.53;0.03;0.255;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
292;61.2;1.53;0.03;0.255;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
293;61.2;1.53;0.03;0.255;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
294;61.2;1.53;0.03;0.255;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
295;61.2;1.53;0.03;0.255;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
296;61.2;1.53;0.03;0.255;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
297;61.2;1.53;0.03;0.255;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
298;61.2;1.53;0.03;0.255;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
299;61.2;1.53;0.03;0.255;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
300;61.2;1.53;0.03;0.255;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
301;61.2;1.53;0.03;0.255;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
302;61.2;1.53;0.03;0.255;0.513;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
303;61.2;1.53;0.03;0.255;0.513;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
304;61.2;1.53;0.03;0.255;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
305;61.2;1.53;0.03;0.255;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
306;61.2;1.53;0.03;0.255;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
307;61.2;1.53;0.03;0.255;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
308;61.2;1.53;0.03;0.255;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
309;61.2;1.53;0.03;0.255;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
310;61.2;1.53;0.03;0.255;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
311;61.2;1.53;0.03;0.255;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
312;61.2;1.53;0.03;0.255;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
313;61.2;1.53;0.03;0.279;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
314;61.2;1.53;0.03;0.279;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
315;61.2;1.53;0.03;0.279;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
316;61.2;1.53;0.03;0.279;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
317;61.2;1.53;0.03;0.279;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
318;61.2;1.53;0.03;0.279;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
319;61.2;1.53;0.03;0.279;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
320;61.2;1.53;0.03;0.279;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
321;61.2;1.53;0.03;0.279;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
322;61.2;1.53;0.03;0.279;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
323;61.2;1.53;0.03;0.279;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
324;61.2;1.53;0.03;0.279;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
325;61.2;1.53;0.03;0.279;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
326;61.2;1.53;0.03;0.279;0.513;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
327;61.2;1.53;0.03;0.279;0.513;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
328;61.2;1.53;0.03;0.279;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
329;61.2;1.53;0.03;0.279;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
330;61.2;1.53;0.03;0.279;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
331;61.2;1.53;0.03;0.279;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
332;61.2;1.53;0.03;0.279;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
333;61.2;1.53;0.03;0.279;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
334;61.2;1.53;0.03;0.279;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
335;61.2;1.53;0.03;0.279;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
336;61.2;1.53;0.03;0.279;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
337;61.2;1.64;0.03;0.255;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
338;61.2;1.64;0.03;0.255;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
339;61.2;1.64;0.03;0.255;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
340;61.2;1.64;0.03;0.255;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
341;61.2;1.64;0.03;0.255;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
342;61.2;1.64;0.03;0.255;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
343;61.2;1.64;0.03;0.255;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
344;61.2;1.64;0.03;0.255;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
345;61.2;1.64;0.03;0.255;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
346;61.2;1.64;0.03;0.255;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
347;61.2;1.64;0.03;0.255;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
348;61.2;1.64;0.03;0.255;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
349;61.2;1.64;0.03;0.255;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
350;61.2;1.64;0.03;0.255;0.513;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
351;61.2;1.64;0.03;0.255;0.513;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
352;61.2;1.64;0.03;0.255;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
353;61.2;1.64;0.03;0.255;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
354;61.2;1.64;0.03;0.255;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
355;61.2;1.64;0.03;0.255;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
356;61.2;1.64;0.03;0.255;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
357;61.2;1.64;0.03;0.255;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
358;61.2;1.64;0.03;0.255;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
359;61.2;1.64;0.03;0.255;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
360;61.2;1.64;0.03;0.255;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
361;61.2;1.64;0.03;0.279;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
362;61.2;1.64;0.03;0.279;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
363;61.2;1.64;0.03;0.279;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
364;61.2;1.64;0.03;0.279;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
365;61.2;1.64;0.03;0.279;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
366;61.2;1.64;0.03;0.279;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
367;61.2;1.64;0.03;0.279;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
368;61.2;1.64;0.03;0.279;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
369;61.2;1.64;0.03;0.279;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
370;61.2;1.64;0.03;0.279;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
371;61.2;1.64;0.03;0.279;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
372;61.2;1.64;0.03;0.279;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
373;61.2;1.64;0.03;0.279;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
374;61.2;1.64;0.03;0.279;0.513;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
375;61.2;1.64;0.03;0.279;0.513;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
376;61.2;1.64;0.03;0.279;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
377;61.2;1.64;0.03;0.279;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
378;61.2;1.64;0.03;0.279;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
379;61.2;1.64;0.03;0.279;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
380;61.2;1.64;0.03;0.279;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
381;61.2;1.64;0.03;0.279;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
382;61.2;1.64;0.03;0.279;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
383;61.2;1.64;0.03;0.279;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
384;61.2;1.64;0.03;0.279;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
385;61.2;1.75;0.03;0.255;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
386;61.2;1.75;0.03;0.255;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
387;61.2;1.75;0.03;0.255;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
388;61.2;1.75;0.03;0.255;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
389;61.2;1.75;0.03;0.255;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
390;61.2;1.75;0.03;0.255;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
391;61.2;1.75;0.03;0.255;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
392;61.2;1.75;0.03;0.255;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
393;61.2;1.75;0.03;0.255;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
394;61.2;1.75;0.03;0.255;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
395;61.2;1.75;0.03;0.255;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
396;61.2;1.75;0.03;0.255;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
397;61.2;1.75;0.03;0.255;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
398;61.2;1.75;0.03;0.255;0.513;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
399;61.2;1.75;0.03;0.255;0.513;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
400;61.2;1.75;0.03;0.255;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
401;61.2;1.75;0.03;0.255;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
402;61.2;1.75;0.03;0.255;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
403;61.2;1.75;0.03;0.255;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
404;61.2;1.75;0.03;0.255;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
405;61.2;1.75;0.03;0.255;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
406;61.2;1.75;0.03;0.255;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
407;61.2;1.75;0.03;0.255;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
408;61.2;1.75;0.03;0.255;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
409;61.2;1.75;0.03;0.279;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
410;61.2;1.75;0.03;0.279;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
411;61.2;1.75;0.03;0.279;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
412;61.2;1.75;0.03;0.279;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
413;61.2;1.75;0.03;0.279;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
414;61.2;1.75;0.03;0.279;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
415;61.2;1.75;0.03;0.279;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
416;61.2;1.75;0.03;0.279;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
417;61.2;1.75;0.03;0.279;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
418;61.2;1.75;0.03;0.279;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
419;61.2;1.75;0.03;0.279;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
420;61.2;1.75;0.03;0.279;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
421;61.2;1.75;0.03;0.279;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
422;61.2;1.75;0.03;0.279;0.513;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
423;61.2;1.75;0.03;0.279;0.513;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
424;61.2;1.75;0.03;0.279;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
425;61.2;1.75;0.03;0.279;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
426;61.2;1.75;0.03;0.279;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
427;61.2;1.75;0.03;0.279;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
428;61.2;1.75;0.03;0.279;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
429;61.2;1.75;0.03;0.279;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
430;61.2;1.75;0.03;0.279;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
431;61.2;1.75;0.03;0.279;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
432;61.2;1.75;0.03;0.279;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
433;70.4;1.53;0.03;0.255;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
434;70.4;1.53;0.03;0.255;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
435;70.4;1.53;0.03;0.255;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
436;70.4;1.53;0.03;0.255;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
437;70.4;1.53;0.03;0.255;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
438;70.4;1.53;0.03;0.255;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
439;70.4;1.53;0.03;0.255;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
440;70.4;1.53;0.03;0.255;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
441;70.4;1.53;0.03;0.255;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
442;70.4;1.53;0.03;0.255;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
443;70.4;1.53;0.03;0.255;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
444;70.4;1.53;0.03;0.255;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
445;70.4;1.53;0.03;0.255;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
446;70.4;1.53;0.03;0.255;0.513;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
447;70.4;1.53;0.03;0.255;0.513;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
448;70.4;1.53;0.03;0.255;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
449;70.4;1.53;0.03;0.255;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
450;70.4;1.53;0.03;0.255;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
451;70.4;1.53;0.03;0.255;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
452;70.4;1.53;0.03;0.255;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
453;70.4;1.53;0.03;0.255;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
454;70.4;1.53;0.03;0.255;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
455;70.4;1.53;0.03;0.255;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
456;70.4;1.53;0.03;0.255;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
457;70.4;1.53;0.03;0.279;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
458;70.4;1.53;0.03;0.279;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
459;70.4;1.53;0.03;0.279;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
460;70.4;1.53;0.03;0.279;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
461;70.4;1.53;0.03;0.279;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
462;70.4;1.53;0.03;0.279;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
463;70.4;1.53;0.03;0.279;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
464;70.4;1.53;0.03;0.279;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
465;70.4;1.53;0.03;0.279;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
466;70.4;1.53;0.03;0.279;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
467;70.4;1.53;0.03;0.279;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
468;70.4;1.53;0.03;0.279;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
469;70.4;1.53;0.03;0.279;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
