ModelNumber;Mass;Height;AnkleHeightCoeff;KneeHeightCoeff;PelvisHeightCoeff;ShoulderHeightCoeff;ShoulderWidthCoeff;ElbowSpanCoeff;WristSpanCoeff;FingerSpanCoeff;FootLengthCoeff;HipWidthCoeff;UmbilicusHeightCoeff;NippleHeightCoeff
46;46.7;1.53;0.03;0.279;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
47;46.7;1.53;0.03;0.279;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
48;46.7;1.53;0.03;0.279;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
49;46.7;1.64;0.03;0.255;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
50;46.7;1.64;0.03;0.255;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
51;46.7;1.64;0.03;0.255;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
52;46.7;1.64;0.03;0.255;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
53;46.7;1.64;0.03;0.255;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
54;46.7;1.64;0.03;0.255;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
55;46.7;1.64;0.03;0.255;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
56;46.7;1.64;0.03;0.255;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
57;46.7;1.64;0.03;0.255;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
58;46.7;1.64;0.03;0.255;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
59;46.7;1.64;0.03;0.255;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
60;46.7;1.64;0.03;0.255;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
61;46.7;1.64;0.03;0.255;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
62;46.7;1.64;0.03;0.255;0.513;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
63;46.7;1.64;0.03;0.255;0.513;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
64;46.7;1.64;0.03;0.255;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
65;46.7;1.64;0.03;0.255;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
66;46.7;1.64;0.03;0.255;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
67;46.7;1.64;0.03;0.255;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
68;46.7;1.64;0.03;0.255;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
69;46.7;1.64;0.03;0.255;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
70;46.7;1.64;0.03;0.255;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
71;46.7;1.64;0.03;0.255;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
72;46.7;1.64;0.03;0.255;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
73;46.7;1.64;0.03;0.279;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
74;46.7;1.64;0.03;0.279;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
75;46.7;1.64;0.03;0.279;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
76;46.7;1.64;0.03;0.279;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
77;46.7;1.64;0.03;0.279;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
78;46.7;1.64;0.03;0.279;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
79;46.7;1.64;0.03;0.279;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
80;46.7;1.64;0.03;0.279;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
81;46.7;1.64;0.03;0.279;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
82;46.7;1.64;0.03;0.279;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
83;46.7;1.64;0.03;0.279;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
84;46.7;1.64;0.03;0.279;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
85;46.7;1.64;0.03;0.279;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
86;46.7;1.64;0.03;0.279;0.513;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
87;46.7;1.64;0.03;0.279;0.513;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
88;46.7;1.64;0.03;0.279;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
89;46.7;1.64;0.03;0.279;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
90;46.7;1.64;0.03;0.279;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
91;46.7;1.64;0.03;0.279;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
92;46.7;1.64;0.03;0.279;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
93;46.7;1.64;0.03;0.279;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
94;46.7;1.64;0.03;0.279;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
95;46.7;1.64;0.03;0.279;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
96;46.7;1.64;0.03;0.279;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
97;46.7;1.75;0.03;0.255;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
98;46.7;1.75;0.03;0.255;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
99;46.7;1.75;0.03;0.255;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
100;46.7;1.75;0.03;0.255;0.495;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
101;46.7;1.75;0.03;0.255;0.495;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
102;46.7;1.75;0.03;0.255;0.495;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
103;46.7;1.75;0.03;0.255;0.495;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
104;46.7;1.75;0.03;0.255;0.495;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
105;46.7;1.75;0.03;0.255;0.495;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
106;46.7;1.75;0.03;0.255;0.495;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
107;46.7;1.75;0.03;0.255;0.495;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
108;46.7;1.75;0.03;0.255;0.495;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
109;46.7;1.75;0.03;0.255;0.513;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
110;46.7;1.75;0.03;0.255;0.513;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
111;46.7;1.75;0.03;0.255;0.513;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
112;46.7;1.75;0.03;0.255;0.513;0.792;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
113;46.7;1.75;0.03;0.255;0.513;0.817;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
114;46.7;1.75;0.03;0.255;0.513;0.817;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
115;46.7;1.75;0.03;0.255;0.513;0.817;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
116;46.7;1.75;0.03;0.255;0.513;0.817;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
117;46.7;1.75;0.03;0.255;0.513;0.831;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
118;46.7;1.75;0.03;0.255;0.513;0.831;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
119;46.7;1.75;0.03;0.255;0.513;0.831;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
120;46.7;1.75;0.03;0.255;0.513;0.831;0.201;0.539;0.835;1.004;0.106;0.191;0.596;0.739
121;46.7;1.75;0.03;0.279;0.495;0.792;0.201;0.494;0.804;1.004;0.106;0.191;0.596;0.739
122;46.7;1.75;0.03;0.279;0.495;0.792;0.201;0.494;0.835;1.004;0.106;0.191;0.596;0.739
123;46.7;1.75;0.03;0.279;0.495;0.792;0.201;0.539;0.804;1.004;0.106;0.191;0.596;0.739
